[(17, -12), (-10, -5), (0, -10), (-10, -10)]
[(17, -12), (5, -5), (-5, -5), (-10, -10)]
[(17, -12), (5, -5), (10, -10), (-10, -10)]
[(14, 16), (20, 10), (15, 21), (5, 15)]
[(5, 15), (14, 16), (20, 10), (15, 21)]
[(15, 21), (5, 15), (14, 16), (20, 10)]
[(20, 10), (15, 21), (5, 15), (14, 16)]
[(10, 8), (20, 10), (15, 21), (5, 15)]
[(16, 4), (20, 10), (10, 16), (5, 15)]
[(16, 4), (16, 10), (10, 16), (5, 15)]
[(8, 16), (6, 10), (14, 2), (16, 10)]
[(16, 10), (10, 8), (6, 10), (10, 4)]
[(6, 10), (8, 6), (16, 10), (8, 8)]
[(8, 2), (20, 10), (10, 6), (6, 10)]
[(12, 6), (6, 10), (16, 2), (18, 10)]
[(4, -6), (6, -14), (14, -12), (8, -10)]
[(8, -12), (4, -6), (6, -14), (14, -12)]
[(10, -6), (4, -6), (8, -12), (14, -12)]
[(6, -8), (14, -12), (12, -4), (4, -6)]
[(4, -6), (8, -6), (14, -12), (12, -4)]
